2022-05-20 19:05:392 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='password']]
2022-05-20 19:05:688 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='login-button']]
2022-05-20 19:05:906 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 19:05:07 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-20 19:05:124 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-20 19:05:237 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 19:05:343 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //button[@id='checkout']]
2022-05-20 19:05:500 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='first-name']]
2022-05-20 19:05:607 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='last-name']]
2022-05-20 19:05:730 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='postal-code']]
2022-05-20 19:05:849 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //input[@id='continue']]
2022-05-20 19:05:972 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //button[@id='finish']]
2022-05-20 19:05:14 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (6d330c7fd6fac4abc1c1218dcd57cd34)] -> xpath: //h2[@class='complete-header']]
2022-05-20 19:05:894 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 19:05:71 INFO  HomePage :32 - Sending Username to user filed : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='user-name']]
2022-05-20 19:05:224 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='password']]
2022-05-20 19:05:466 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='login-button']]
2022-05-20 19:05:631 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 19:05:748 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-20 19:05:876 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-20 19:05:990 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 19:05:104 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //button[@id='checkout']]
2022-05-20 19:05:244 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='first-name']]
2022-05-20 19:05:355 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='last-name']]
2022-05-20 19:05:464 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='postal-code']]
2022-05-20 19:05:571 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //input[@id='continue']]
2022-05-20 19:05:668 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //button[@id='finish']]
2022-05-20 19:05:700 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (06d8301dd3dbfd118476dcd8935f04a2)] -> xpath: //h2[@class='complete-header']]
